咖啡廳名稱,敘述,評價,地址,GoogleMaps,封面,圖片1,圖片2
未央咖啡店,免費wifi · 提供插座 · 環境舒適,4.6,"No. 10, Lane 208, Siwei Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Weiyang+Coffee/@25.0195055,121.5475149,15z/data=!3m1!5s0x3442aa2dec92b191:0x43b8be25eb0b94c4!4m5!3m4!1s0x3442aa2dec922001:0xf1592a50aa99e9f9!8m2!3d25.0262375!4d121.5474209",https://lh5.googleusercontent.com/p/AF1QipM1UF5bE7pqiQITRVDac0QQL0MwMvJtsXIvAK0=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipMYym6i-Su5vMllJWg0WseqO9uq92erISCCdFNq=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipM3B6uDDvx8weo0QcROpLlaOQ3zgCQ_rPTNe-ZV=w203-h203-k-no
草泥cafe,免費wifi · 單品咖啡 · 提供插座,4.9,"No. 17號, Leye St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E8%8D%89%E6%B3%A5Cafe/@25.0195055,121.5475149,15z/data=!4m5!3m4!1s0x3442aa318d94ee09:0x5d220de168137722!8m2!3d25.0238292!4d121.5500145",https://lh5.googleusercontent.com/p/AF1QipO357Jx3Mk6S5lMyNz_jR7XkhKrUjGc80OSXXd2=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipP70JbfdexHFQ9AhR69XrpAx9urIxUDdrVJ5eve=w203-h269-k-no,https://lh5.googleusercontent.com/p/AF1QipMqSR03DpI8HYdaoDGbezXmMiPMaH_PzEYMHLv7=w203-h135-k-no
半路咖啡halfway cafe,提供插座 · 和善親人 · 環境舒適,4.4,"No. 9, Alley 51, Lane 269, Section 3, Luosifu Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Halfway+Coffee/@25.0201332,121.5294244,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a9893208829f:0xbc2c188e0a6934bc!8m2!3d25.02016!4d121.5316151",https://lh5.googleusercontent.com/p/AF1QipMD8YU4BGi7mQG90Ar5PbNsrZ0ShQJlRQh1Z8w4=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMso5_T8c4R_spLZ248bAVhQxl0l0H9v-1vO8J4=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOMI_LTGOAfyBI_2XrxC1DXMt5fpYmRUtPihuaZ=w203-h270-k-no
欒樹下書房咖啡,免費wifi · 提供插座 · 和善親人,4.3,"No. 24, Wenzhou St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Editor+Books+%26+Cafe/@25.0233238,121.5310043,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a98626ee9f21:0xc119f826725242ec!8m2!3d25.0233171!4d121.5332089",https://lh5.googleusercontent.com/p/AF1QipMG0rHTgFzuGapR9FLqXPpYF2NIcwWG5xI8dXng=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipORsZfkdPyO0euetEZwLbm9TPvAoGk22Py-jf0=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOhDJrwjrioz0w2--q9h2t7645VlfRL6-z-xKBt=w203-h114-k-no
羊毛與花 ‧ 溫州,免費wifi · 單品咖啡 · 提供插座,4.5,"No. 12號, Lane 37, Yongkang St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E7%BE%8A%E6%AF%9B%E8%88%87%E8%8A%B1+%E2%80%A7+%E6%B0%B8%E5%BA%B7+youmoutoohana+Coffee/@25.0307008,121.5277803,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a983c0edb8ff:0x5f4a25137fec69e7!8m2!3d25.0306929!4d121.5299687",https://lh5.googleusercontent.com/p/AF1QipPtjLt6aVwjMAcTIuiBzOx-nV_wmYmVNQsKwnlQ=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNeSmQtUtgbUedhVSrX-LZo6UCToOLfsisBjraf=w203-h304-k-no,https://lh5.googleusercontent.com/p/AF1QipON-Ca3CNYmkUpwwiBI6FNvQ3bNGZ5N_PRAH3Nl=w203-h152-k-no
城市草倉 C-tea loft,免費wifi · 提供插座 · 和善親人,4.9,"No. 4, Alley 19, Lane 283, Section 3, Luosifu Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E5%9F%8E%E5%B8%82%E8%8D%89%E5%80%89+C-tea+loft/@25.0195055,121.5475149,15z/data=!4m5!3m4!1s0x3442a9894a5fd855:0xeed6002b4e8142e7!8m2!3d25.0194488!4d121.5314837",https://lh5.googleusercontent.com/p/AF1QipPHa3Y6TjzlA1T4VIVhMIow45RWKwzibKhNJ8VY=w203-h134-k-no,https://lh5.googleusercontent.com/p/AF1QipNzcyZ4TsCSN2qluO6RM2YzdDV8ivaNYi1UOUha=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPht3qpLzPR-2kFf7HpMhVW3PP2RJVt3Fjos7pi=w203-h152-k-no
Uranium Cafe,環境舒適 · 適合工作 · 藝術氣質,4.4,"106, Taipei City, Da’an District, Lane 253, Section 1, Fuxing S Rd, 32號1樓","https://www.google.com.tw/maps/place/Uranium+Cafe/@25.0366911,121.5428742,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abd17ba55aab:0x994b55a06d2abe5a!8m2!3d25.0366863!4d121.5450629",https://lh5.googleusercontent.com/p/AF1QipMuUHxhNkLMOqeSX3QVmsPktlyGOk4iwr97f64S=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOy3l-e14JsyojdtoTJL2bU5fJ-nJwOvfzQ0fcz=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipOlrRc40dZc_1reu442P85YWxdnAozgDc5cn-a9=w203-h114-k-no
小南風咖啡,單品咖啡 · 和善親人 · 精品咖啡,4.4,"No. 9號, Lane 68, Shida Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E5%B0%8F%E5%8D%97%E9%A2%A8%E6%89%8B%E6%B2%96%E5%92%96%E5%95%A1%E9%A4%A8/@25.0242359,121.5257086,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a98f870df1b9:0xeaf589bfe863bcf7!8m2!3d25.0242268!4d121.5278966",https://lh5.googleusercontent.com/p/AF1QipMMywlVV6hlMksU7DqRIZoxP6ICKDNQkKqyEAfI=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOZhR_-ywbdxo8mUuc4XKtynSEfWNVXPtFSE65A=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNN_P_B7dz5IrEk8LWWsl7Lpi-fP91DyucNjR8=w203-h270-k-no
Aura微光咖啡,免費wifi · 單品咖啡 · 提供插座,4.4,"No. 9號, Lane 269, Section 3, Luosifu Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Aura%E5%BE%AE%E5%85%89%E5%92%96%E5%95%A1/@25.0194715,121.5280011,17z/data=!3m2!4b1!5s0x3442a98eb9e3caeb:0xab0afdb36fa1868e!4m5!3m4!1s0x3442a98eba028245:0x5fc669a84a67f8b!8m2!3d25.0194667!4d121.530576",https://lh5.googleusercontent.com/p/AF1QipP9z9YKyCj8obivLIlrZfuAq9u4gf4FC9gWcA4x=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNyml3cssZHJZk96AftoEzTW8zHojCVxyp1jK6s=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOzpt1OhSOTVCdBnOcBTwOitPRE5z-TBYZK2CQ=w203-h135-k-no
鴉埠咖啡 Yaboo,免費wifi · 單品咖啡 · 提供插座,4,"No. 26, Lane 41, Yongkang St, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/YABOO+Cafe/@25.0304523,121.5277424,17z/data=!4m10!1m2!2m1!1z6bSJ5Z-g5ZKW5ZWhIFlhYm9v!3m6!1s0x3442a983dd35659f:0xfb86e58c60cd763c!8m2!3d25.0304473!4d121.5305886!15sChLptInln6DlkpbllaEgWWFib29aFiIU6bSJIOWfoCDlkpbllaEgeWFib2-SAQRjYWZl4AEA!16s%2Fg%2F1tj4wdfy",https://lh5.googleusercontent.com/p/AF1QipMVgHKs4vDd_qac7YvmfDoJSkVoTPN0ELYsnDQh=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPnjKLUvnCaNs_45Py7CPx3tDWfzN2sx-mLOo4y=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOZXRl6igYObNe0lOZ5R38zw1MEo_T2mhz20lO6=w203-h162-k-no
慢步調咖啡館,免費wifi · 提供插座 · 手做甜點,4.6,"No. 1號, Alley 1, Lane 251, Section 3, Zhongxiao E Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Slow+Pace+Cafe/@25.0421142,121.5395949,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abd7591f633b:0x10dbff32f9c82bad!8m2!3d25.0421094!4d121.5417836",https://lh5.googleusercontent.com/p/AF1QipPcoSs4_3KHCSMXLRUGYZNzHDBB3ep0qTyL7WWN=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipP6tSdE1qjntcNlW4ul9izN1R-tPY_VFQGj00d0=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipOcKyYcHg7H8W3x0EtpaD1ZE-pl2EIMO7VqC2au=w203-h113-k-no
Apple Museum Cafe,免費wifi · 單品咖啡 · 提供插座,4.9,"No. 9-1號, Lane 421, Guangfu S Rd, Xinyi District, Taipei City, 110","https://www.google.com.tw/maps/place/Museum+50+Coffee/@23.9836858,119.7704738,8z/data=!4m10!1m2!2m1!1sApple+Museum+Cafe!3m6!1s0x3442abc84ec3ffa5:0x621db18bd3489033!8m2!3d25.0362514!4d121.5579731!15sChFBcHBsZSBNdXNldW0gQ2FmZSIDiAEBWhMiEWFwcGxlIG11c2V1bSBjYWZlkgEEY2FmZeABAA!16s%2Fg%2F11bz0chcmw",https://lh5.googleusercontent.com/p/AF1QipOn_NiWECYMqSgqgMk3nSg2f5Rv4S_OZAzkiztA=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOxEJ_c4SFwz5Wu0WXyQWvhw6TLVg67_3N3EntV=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipM8qNO5hhIt0Z-sT_1ByFRQFfQ-3-rk8rbj3J0S=w203-h155-k-no
Stoppage Time 補時,免費wifi · 提供插座 · 適合工作,4.1,"No. 30, Alley 15, Lane 96, Section 2, Heping E Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Stoppage+Time/@25.0232756,121.5397021,17z/data=!3m1!4b1!4m5!3m4!1s0x3442aa28d6a48c6f:0x849d7dd65a0bca9a!8m2!3d25.0232708!4d121.542277",https://lh5.googleusercontent.com/p/AF1QipOwj9rjcgMfOexv_GHDQiAiSwGhOgEODxpcdYcl=w203-h242-k-no,https://lh5.googleusercontent.com/p/AF1QipMAaWnMiN3vdHAXN2cURY1PA8aDf_jGd-6ida_p=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipPYfcAIISLiNlyAkkXOY1uWLHhRkoZXV8bd5Gap=w203-h152-k-no
Miuya Cafe 米屋珈琲,免費wifi · 提供插座 · 環境舒適,4.2,"No. 18號, Qingli St, Tucheng District, New Taipei City, 236","https://www.google.com.tw/maps/place/%E7%B1%B3%E5%B1%8B%E7%8F%88%E7%90%B2%E9%A4%A8/@24.9737697,121.4374383,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abcdaff5f71d:0xdbc3767c6bab3df8!8m2!3d24.9737466!4d121.439618",https://lh5.googleusercontent.com/p/AF1QipPLRkQ0bGrYhmOHcgnZJEubf5GyjNcrQxLdq2nr=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPF9XfguoItFODlkidq9IwOKK2rhX0_6xhu5Y3g=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipON_R27j2coKbBWAtyqDJ4muTTuMy84_Ax4NaUc=w203-h152-k-no
這間咖啡,免費wifi · 提供插座 · 環境舒適,4.4,"No. 39號, Lane 30, Section 4, Xinyi Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/This+Cafe/@25.0318187,121.5426031,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abd33b214b87:0x56fd9ae113171a64!8m2!3d25.0318139!4d121.5447918",https://lh5.googleusercontent.com/p/AF1QipPm4ZcKDjQhninrnwKn3ls3yRKXm6fKHoZXz67t=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMUarcs_xcYQ5C3LLV6ruZENpr3Xz65BcuA3t0=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOg-WQCQnG2KmlhsITsnAecVehLJOydaYQptl5K=w203-h135-k-no
BeansLab coffee 豆研咖啡館,免費wifi · 單品咖啡 · 自家烘焙,5,"No. 6號, Alley 6, Lane 171, Section 2, Xinhai Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/BeansLab+Coffee/@25.0219504,121.5386508,17z/data=!3m1!4b1!4m5!3m4!1s0x3442aa289a123d59:0x3d0c500719283cd6!8m2!3d25.0219456!4d121.5408395",https://lh5.googleusercontent.com/p/AF1QipOcJ4NH9bqHeKBDAvm7F58HSKJfMxzVsy_756Uk=w254-h100-k-no,https://lh5.googleusercontent.com/p/AF1QipN6rr9byhm8S4BQZUU34_Bbr4X2DNgBKxa2VHr9=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNvuJD5BZ6TGeDEPfRdaW15pxmjkENdfbnZsjfb=w203-h152-k-no
八米共同工作空間 8 Meters Coworking Space,免費wifi · 提供插座 · 和善親人,4.8,"No. 6號, Alley 23, Lane 107, Section 2, Heping E Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E5%85%AB%E7%B1%B3%E5%85%B1%E5%90%8C%E5%B7%A5%E4%BD%9C%E7%A9%BA%E9%96%93+8+Meters+Coworking+Space/@25.0261015,121.5384601,17z/data=!3m1!4b1!4m5!3m4!1s0x3442aa2964f31c8b:0xd66909984fc748fe!8m2!3d25.0260967!4d121.5406488",https://lh5.googleusercontent.com/p/AF1QipO63DXtIL7dzyG7Wa3qIdKzyyOa19Rb3DpCk3EY=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOSzTVzIWZ4haJOgqFoyBZFka0g9IGqySor6z85=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOcGL0nUI-HhVoV1VT0yOTbzNxYJ1u85diTWaXE=w203-h127-k-no
homey's cafe,巷弄咖啡館 · 個性 · 戶外吸煙區,4,"106, Taipei City, Da’an District, Lane 236, Section 1, Dunhua S Rd, 36號騷豆花樓上2樓","https://www.google.com.tw/maps/place/Homey's+cafe/@25.0195055,121.5475149,15z/data=!4m5!3m4!1s0x3442abd06e2f88b1:0x6414376b1f3e1b9f!8m2!3d25.0405171!4d121.54658",https://lh5.googleusercontent.com/p/AF1QipNPcryj88r3zg9hsr9O_zJgydOJ0Gfe8Hj5Vck2=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNOamIzs26gFoe8L05JPRpMSoU4tjTETy8wqi53=w203-h303-k-no,https://lh5.googleusercontent.com/p/AF1QipNqgzSe_zj-8pPpaR7J4dk9wq2K69klt4_WLgRY=w203-h152-k-no
Congrats Café,免費wifi · 單品咖啡 · 提供插座,4.4,"No. 49號, Wenchang St, Da’an District, Taipei City, 10681","https://www.google.com.tw/maps/place/Congrats+Caf%C3%A9/@25.0329567,121.5483919,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abcda5572b7b:0x34c1cf42f30f9caf!8m2!3d25.0329519!4d121.5505806",https://lh5.googleusercontent.com/p/AF1QipNRV2UIGgC0MpU4B3owIKFjLF9fK7dP-vTkxw8V=w203-h253-k-no,https://lh5.googleusercontent.com/p/AF1QipOyVAfhOe2SYOJetBdOIy1shgH8rxQLxNJWYaFz=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipOYYJJUoFFlbY2Bccu7uoJ6w7h11SjIG5U8oRG8=w203-h152-k-no
好氏品牌研究室,免費wifi · 巷弄咖啡館 · 獨特風格,4.1,"No. 22號, Lane 48, Wenzhou Street, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/ODD+Institute/@25.0968827,121.5246924,17z/data=!4m10!1m2!2m1!1z5aW95rCP5ZOB54mM56CU56m25a6k!3m6!1s0x3442a988c50d20e5:0x13b6b13253db3af9!8m2!3d25.0968805!4d121.5269356!15sChXlpb3msI_lk4HniYznoJTnqbblrqSSAQRjYWZl4AEA!16s%2Fg%2F1pp2wzwm2",https://lh5.googleusercontent.com/p/AF1QipOWB1SJDC5sSo1yK7ZvjJou1AcZEFlxMo3EEe_t=w203-h135-k-no,https://lh5.googleusercontent.com/p/AF1QipNKh9fcXXThS0ptloffZ8tYpI6AXNnTMbqs-OQD=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipMPGJxSFh3cM_il3bR1n2BmqD7Jlfo4mrQt9ls6=w203-h203-k-no
小米酒咖啡館,免費wifi · 提供插座 · 環境舒適,4.6,"No. 37, Lane 308, Section 3, Heping E Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Xiaomijo/@25.0195055,121.5475149,15z/data=!4m5!3m4!1s0x3442a983957b795b:0xa989402e27b1bbff!8m2!3d25.0192398!4d121.5553305",https://lh5.googleusercontent.com/p/AF1QipO70jNTSRB9KfyUpTx7Mz4eaE1Vti9K40hgensY=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipNCh0xURdKjIjr5cZe2omCgXXDjjmZQWh39N6R5=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipPM6fUScHzvDGXzyZMWH1u7x3SVqhq6mJK4b6L0=w203-h135-k-no
多麼Cafe+,免費wifi · 提供插座 · 環境舒適,4.4,"106, Taipei City, Da’an District, Lane 217, Section 2, Anhe Rd, 16號1樓","https://www.google.com.tw/maps/place/%E5%A4%9A%E9%BA%BCCafe%2B/@25.0195055,121.5475149,15z/data=!4m5!3m4!1s0x3442aa32494db341:0x61fbe59d1181f779!8m2!3d25.0258885!4d121.5508529",https://lh5.googleusercontent.com/p/AF1QipPH4GtMp4hWL81VKIDPWM8krxtdHW7DLfetinTA=w203-h253-k-no,https://lh5.googleusercontent.com/p/AF1QipNT9FHQvKH9_J0NPRArVDhrhzqVSH8VCA2zcJGM=w203-h203-k-no,https://lh5.googleusercontent.com/p/AF1QipM9YtTIeH-IO1dNJa5bk1Trqrau_imgRu4I-sGH=w203-h166-k-no
Coffee Sind,免費wifi · 單品咖啡 · 提供插座,4.4,"No. 8號, Lane 56, Section 1, Xinsheng S Rd, Zhongzheng District, Taipei City, 100","https://www.google.com.tw/maps/place/Coffee+sind/@25.0410618,121.5297085,17z/data=!3m2!4b1!5s0x3442a97c662779b3:0x79d60a289c9874ba!4m5!3m4!1s0x3442abd2477456f1:0x491fe9519d0d2004!8m2!3d25.041057!4d121.5322834",https://lh5.googleusercontent.com/p/AF1QipM3VEA8mPnZYQ95_EOj7c7lokG3vuvcQIwcSKJV=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMDWg_LisUj1RYMfYG5cH5IsQFLSzIFteerAGu2=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipN7rLI3b10YhlkCGEY-imbuk2YKkuiS0_ri3Im4=w203-h269-k-no
溫古咖啡Wengu cafe,,4,"No. 16號, Lane 160, Section 1, Dunhua S Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E6%BA%AB%E5%8F%A4%E5%92%96%E5%95%A1+Wengu+cafe/@25.0434938,121.545562,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abdad7934183:0xe48f55af357be4c9!8m2!3d25.0435004!4d121.5477512",https://lh5.googleusercontent.com/p/AF1QipNRkTlRjDHMo7D5Z6xrdlh9yqdpRkZWkoAffI2T=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipNgDrV0rJDxZ1AIGK4q7oDGXKv0cCGPIImFlzTM=w203-h360-k-no,https://lh5.googleusercontent.com/p/AF1QipMLUYNS6zDfm2Op0jt78Hjx6TX8YQx0Gpz7sfFO=w203-h320-k-no
晴境易得,,4.5,"No. 5號, Alley 2, Lane 217, Section 3, Zhongxiao E Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/%E6%99%B4%E5%A2%83%E6%98%93%E5%BE%97%E5%92%96%E5%95%A1%E9%A4%A8+EIDOS+cafe/@25.0424318,121.5378613,17z/data=!3m1!4b1!4m5!3m4!1s0x3442abd77ed949df:0x1111fed80bb0eaf7!8m2!3d25.042427!4d121.54005",https://lh5.googleusercontent.com/p/AF1QipOIq8TBSOtLxwPt5WCrP7gfjBvvY9_Y8twV8wPf=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipPknZqTBUiilRm6tFJYUd_dkjYFK5NQ7gU1XhDX=w203-h114-k-no,https://lh5.googleusercontent.com/p/AF1QipOsS6Zh34n58SanqzOsP6Su_-zjoe0Ym-NrWJr8=w203-h270-k-no
Pica Pica Café 喜鵲咖啡,免費wifi · 提供插座 · 和善親人,4.4,"No. 74號, Lane 269, Section 3, Luosifu Rd, Da’an District, Taipei City, 106","https://www.google.com.tw/maps/place/Pica+Pica+Caf%C3%A9/@25.0209246,121.5295014,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a988d65f0633:0x11b4143c1b91dfff!8m2!3d25.0209046!4d121.531705",https://lh5.googleusercontent.com/p/AF1QipP-5DNzVKIA1EyiOtExHWgpHPUH0r9aud71nyxt=w203-h152-k-no,https://lh5.googleusercontent.com/p/AF1QipO0xK2hqHDkUg3DKI-h_VTwn9fRPdiM_-0X_Gba=w203-h270-k-no,https://lh5.googleusercontent.com/p/AF1QipMrN_11EqhJmSL_UzqLrGnOEQUPnL0LTelRzhbV=w203-h135-k-no
